code,product_name,brands,countries_tags
00000022,Farandole de madeleine,Coca-Cola,en:brazil
00000032,,,en:brazil
00000056,juca,piraque,en:brazil
00000086,Vegan protein powder,Be amazing,en:brazil
00000087,leite egua,piraque,en:brazil
00000953,Herbalife,Herbalife,en:brazil
0000200375991,Peito de Peru Defumado Fatiado Vita SADIA Bandeja 200g,SADIA,en:brazil
0000201706204,YOGURT FRUTOS ROJOS,TIROLI,en:brazil
00002332,Contra Filé Mataboi,Dürröhrsdorfer,"en:brazil,en:germany"
00003503,Leite em pó integral instantâneo Glória,Glória,en:brazil
00004404,Carne Resfriada Mataboi Bovina sem Osso,,en:brazil
0000526020711,CÓDIGO DE BARRAS ERRADO Wafer passatempo 20g,,en:brazil
00006214,,,en:brazil
0000937606337,Queijo Parmesão Fracionado Galbani,Galbani,en:brazil
00010538,Acetilcisteína,,en:brazil
0001379002022,Ramen,Maruchan,en:brazil
00014498,,,en:brazil
00016755,Vegan - Manteiga com Sal,Grings,en:brazil
0001832173962,,,en:brazil
0004604520007,,,en:brazil
0004932000060,Feijão Preto Pronto Camil Temperado e Cozido,Camil,en:brazil
0004932000473,VAPZA Feijão Preto Orgânico Cozido no Vapor,Vapza,en:brazil
0005044300000,BURRERA TORTILLA,Lider,en:brazil
00059534,qwertyuiop,hablb772044377@gmailcom,en:brazil
00064651,Queijo Parmesão,Tirolez,en:brazil
00073510,,,en:brazil
0007495917516,KING MIX Achocolatado em pó,King mix,en:brazil
0007771694445,Pomodori Pelati Italiano,Verdemar,en:brazil
0007771797764,Passata Tradicional,Verdemar,en:brazil
0007772001907,Sorbet De Tangerina Com Gengibre,Verdemar,en:brazil
0007772167771,Pão De Queijo Light,Verdemar,en:brazil
0007890361112,Protein powder,Hela,en:brazil
0007891601866,Chá de Camomila LEÃO 10g com 10 Saquinhos,Leão,en:brazil
00086767,,,en:brazil
00090025,,,en:brazil
00096061,Amst ln 330,,en:brazil
0009640378982,AÇAÍ Energizing Power,Campoverde,en:brazil
0009907100149,PROSTAR 100% WHEY PROTEIN,ULTIMATE NUTRITION,en:brazil
0009907100150,PROSTAR 100% WHEY PROTEIN,ULTIMATE NUTRITION,en:brazil
00100000,teste,teste,en:brazil
0010181045912,,,en:brazil
00109628,Pão Integral 12 Grãos,Plusvita,en:brazil
0011210009530,TABASCO Molho de Pimenta Jalapeño,TABASCO,"en:brazil,en:morocco"
0011210115606,TABASCO Molho de Pimenta Vermelha Original,TABASCO,en:brazil
00112846,Feijão Preto Combrasil,COMBRASIL,en:brazil
0012345678011,nortão,,en:brazil
0012919012784,Coffee,,en:brazil
0013300009581,Maple Butter Xarope Pra Panqueca Hungry Jack Importado,Hungry Jack,en:brazil
0014000027110,CÓDIGO DE BARRAS ERRADO Pão de alho picante,Aurora,en:brazil
0016000487956,Chex rice,General Mills,"en:brazil,en:united-kingdom"
0016000506197,Brownie,Fiber One,en:brazil
0016300210094,Fresh Orange Juice,Farmer's Natural,"en:brazil,en:united-states"
0018947001783,Pan de Molde Multigrano,Tasty free,en:brazil
00193276,PROTEIN,WILD,en:brazil
0020552039235,EMPORIO MIX FRUTOS Y SEMILLAS,Cuisine & Co.,en:brazil
0020842033967,Chocolate Meio Amargo Sicao 52%,Sicao,en:brazil
0020842054818,Chocolate Nobre Branco,Sicao,en:brazil
0020842060611,Sicao Cobertura Fracionada Sicao Mais,Sicao,en:brazil
0020842072294,Cobertura De Chocolate Ao Leite,Sicao,en:brazil
0020842086444,HARALD Cobertura TOP em Gotas (Ao leite),HARALD,en:brazil
0020842098041,sicao ao leite,,en:brazil
0020842098911,Chocolate Blend,Sicao,en:brazil
0020842101451,Chocolate Amargo,Sicao,en:brazil
0020842110842,Chocolate Em Pó 50% Cacau,Sicao,en:brazil
0020842111245,Cacau em Pó,"Sicao, Barry Callebaut Brasil Ind.",en:brazil
0021000070268,LIGHT MAYO,Kraft,en:brazil
0021200040603,Sukita,,en:brazil
0027331071615,Yellow Corn Tortillas,LA BANDERITA,en:brazil
0028400435031,Puff cheese flavored snacks,Cheetos,"en:brazil,en:france"
0029801010339,Finest Waffle Crisps,Belgian Butters,en:brazil
0030000014066,ChocoSoy Pops,olvebra,en:brazil
0034000723355,ICE BREAKERS DUO,ICE BREAKERS,en:brazil
